Record Length,12288,,Source,CH3,CH4
Sample Interval, CH3:0.0000040000000 CH4:0.0000040000000,,Second,Volt,Volt
Vertical Units, CH3:V CH4:V,,-0.02457600156,0.00680,8.00000
Vertical Scale, CH3:0.01 CH4:10.00,,-0.02457200000,0.00680,8.00000
Vertical Offset, CH3:-0.03400 CH4:0.00,,-0.02456800156,0.00680,8.00000
Horizontal Units,s,,-0.02456400000,0.00680,7.60000
Horizontal Scale,0.0050000000,,-0.02456000000,0.00680,7.60000
Model Number,WaveAce2004,,-0.02455600000,0.00680,8.00000
Serial Number,LCRY2250C00554,,-0.02455200000,0.00680,7.60000
Software Version,5.01.02.07R1,,-0.02454800000,0.00680,7.60000
,,,-0.02454400000,0.00680,7.60000
,,,-0.02454000000,0.00640,7.60000
,,,-0.02453600000,0.00680,8.00000
,,,-0.02453200000,0.00680,7.60000
,,,-0.02452800000,0.00680,8.00000
,,,-0.02452400000,0.00640,7.60000
,,,-0.02452000000,0.00680,8.00000
,,,-0.02451600000,0.00680,7.60000
,,,-0.02451200000,0.00680,7.60000
,,,-0.02450800000,0.00680,7.60000
,,,-0.02450400000,0.00680,8.00000
,,,-0.02450000000,0.00680,8.00000
,,,-0.02449600000,0.00680,7.60000
,,,-0.02449200000,0.00680,8.00000
,,,-0.02448800000,0.00640,7.60000
,,,-0.02448400000,0.00680,8.00000
,,,-0.02448000000,0.00640,8.00000
,,,-0.02447599844,0.00680,7.60000
,,,-0.02447200000,0.00720,7.60000
,,,-0.02446799844,0.00680,7.60000
,,,-0.02446400000,0.00680,7.60000
,,,-0.02445999844,0.00720,8.00000
,,,-0.02445600000,0.00720,7.60000
,,,-0.02445200156,0.00720,7.60000
,,,-0.02444800000,0.00680,7.60000
,,,-0.02444400156,0.00720,7.60000
,,,-0.02444000000,0.00680,7.60000
,,,-0.02443600000,0.00680,7.60000
,,,-0.02443200000,0.00720,7.60000
,,,-0.02442800000,0.00680,7.60000
,,,-0.02442400000,0.00680,7.60000
,,,-0.02442000000,0.00680,7.60000
,,,-0.02441600000,0.00680,7.60000
,,,-0.02441200000,0.00680,7.60000
,,,-0.02440800000,0.00720,7.60000
,,,-0.02440400000,0.00680,7.60000
,,,-0.02440000000,0.00680,7.60000
,,,-0.02439600000,0.00680,7.60000
,,,-0.02439200000,0.00680,7.60000
,,,-0.02438800000,0.00680,7.60000
,,,-0.02438400000,0.00680,7.60000
,,,-0.02438000000,0.00680,7.60000
,,,-0.02437600000,0.00680,7.60000
,,,-0.02437200000,0.00680,7.60000
,,,-0.02436800000,0.00680,7.60000
,,,-0.02436400000,0.00680,7.60000
,,,-0.02436000000,0.00720,7.60000
