F,G,P
5.00000000000e00,1.02715138310e05,1.79180969238e02
5.37620000000e00,1.02034330473e05,1.79041854858e02
5.78070000000e00,1.02748045387e05,1.78439193726e02
6.21560000000e00,1.01496257379e05,1.78005859375e02
6.68330000000e00,1.01003701311e05,1.78185012817e02
7.18610000000e00,1.02347388364e05,1.78230255127e02
7.72680000000e00,1.02486740047e05,1.78477569580e02
8.30820000000e00,1.00950424954e05,1.77497711182e02
8.93330000000e00,1.01070133451e05,1.77610794067e02
9.60540000000e00,1.00286805820e05,1.76895965576e02
1.03281000000e01,1.01802882513e05,1.78335205078e02
1.11052000000e01,1.00878771301e05,1.76841781616e02
1.19408000000e01,1.01140922662e05,1.76939193726e02
1.28392000000e01,1.02824936541e05,1.76789199829e02
1.38052000000e01,1.00818562100e05,1.76939071655e02
1.48439000000e01,1.02594572158e05,1.76455276489e02
1.59607000000e01,1.02163700416e05,1.76077621460e02
1.71616000000e01,1.01361990671e05,1.76339599609e02
1.84528000000e01,1.02443533675e05,1.75793945313e02
1.98412000000e01,1.01112570637e05,1.74717758179e02
2.13340000000e01,1.00864870450e05,1.75619964600e02
2.29392000000e01,1.02000455428e05,1.74673080444e02
2.46651000000e01,1.01591929788e05,1.73204376221e02
2.65209000000e01,1.01486904331e05,1.73238052368e02
2.85163000000e01,1.00529127844e05,1.72337097168e02
3.06619000000e01,1.00697948792e05,1.72492111206e02
3.29689000000e01,1.01517185081e05,1.72245574951e02
3.54494000000e01,1.01525100670e05,1.71674957275e02
3.81166000000e01,9.92355872836e04,1.70150894165e02
4.09845000000e01,1.01433156055e05,1.69838333130e02
4.40681000000e01,1.01582651623e05,1.70446624756e02
4.73838000000e01,9.97895753734e04,1.69586181641e02
5.09489000000e01,1.00841369582e05,1.67935806274e02
5.47823000000e01,9.87712583868e04,1.67031692505e02
5.89040000000e01,9.93398118599e04,1.66113769531e02
6.33359000000e01,9.81550357333e04,1.64869247437e02
6.81013000000e01,9.73018115055e04,1.63431777954e02
7.32252000000e01,9.64986831316e04,1.62289810181e02
7.87346000000e01,9.58124586806e04,1.61726058960e02
8.46586000000e01,9.68392944259e04,1.59690170288e02
9.10282000000e01,9.59358998774e04,1.58549636841e02
9.78771000000e01,9.35587657440e04,1.57390609741e02
1.05241300000e02,9.45652285090e04,1.55655822754e02
1.13159600000e02,9.27223005075e04,1.53814788818e02
1.21673700000e02,9.06815642277e04,1.52525115967e02
1.30828300000e02,8.95902764889e04,1.50104843140e02
1.40671800000e02,8.92304574924e04,1.48381240845e02
1.51255800000e02,8.64581694332e04,1.46401687622e02
1.62636200000e02,8.52930460715e04,1.44977218628e02
1.74872800000e02,8.34047151974e04,1.42194625854e02
1.88030200000e02,8.11343284267e04,1.40165832520e02
2.02177400000e02,7.92439039689e04,1.38138793945e02
2.17389100000e02,7.70554408201e04,1.35929611206e02
2.33745300000e02,7.44201279650e04,1.33755950928e02
2.51332200000e02,7.14682896000e04,1.31260269165e02
2.70242300000e02,6.87283926217e04,1.29226913452e02
2.90575100000e02,6.62571348735e04,1.26523338318e02
3.12437800000e02,6.31041333451e04,1.24005249023e02
3.35945400000e02,6.05878593378e04,1.21801391602e02
3.61221700000e02,5.74295336474e04,1.19270286560e02
3.88399800000e02,5.46154720940e04,1.17474510193e02
4.17622800000e02,5.19601127536e04,1.15135559082e02
4.49044400000e02,4.89148966446e04,1.12564140320e02
4.82830200000e02,4.59895434487e04,1.10610977173e02
5.19158100000e02,4.36404284930e04,1.08208740234e02
5.58219200000e02,4.12191452101e04,1.06293228149e02
6.00219200000e02,3.84173211416e04,1.04222343445e02
6.45379300000e02,3.60684972215e04,1.02265716553e02
6.93937300000e02,3.37514382457e04,1.00078048706e02
7.46148600000e02,3.15224747884e04,9.84234924316e01
8.02288400000e02,2.94128829644e04,9.63364028931e01
8.62652000000e02,2.74631591513e04,9.41802139282e01
9.27557400000e02,2.55680201047e04,9.24255676270e01
9.97346200000e02,2.37166678637e04,9.03471450806e01
1.07238590000e03,2.21713247599e04,8.83063354492e01
