Label:, CH1: Power Spectrum
DateTime:, Wed Sep 24 20:05:50 2014
DataKind:, CH1, PowerSpec, Mag
DataPoints:, 6402
DataCalc:
Frequency:, 0.000 , 20000.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, -10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Log
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms, PSD
0.00000000E+00, -7.44919093E+01
3.12500000E+00, -7.99872250E+01
6.25000000E+00, -7.48105494E+01
9.37500000E+00, -7.59750021E+01
1.25000000E+01, -7.03966361E+01
1.56250000E+01, -6.86856545E+01
1.87500000E+01, -7.13616826E+01
2.18750000E+01, -6.71947547E+01
2.50000000E+01, -6.82694851E+01
2.81250000E+01, -4.98317676E+01
3.12500000E+01, -4.39119211E+01
3.43750000E+01, -4.91795615E+01
3.75000000E+01, -7.12058531E+01
4.06250000E+01, -8.38474844E+01
4.37500000E+01, -8.07070906E+01
4.68750000E+01, -7.00181252E+01
5.00000000E+01, -6.46605988E+01
5.31250000E+01, -7.31584135E+01
5.62500000E+01, -7.98590096E+01
5.93750000E+01, -7.21696353E+01
6.25000000E+01, -6.75996744E+01
6.56250000E+01, -6.60101147E+01
6.87500000E+01, -6.60284560E+01
7.18750000E+01, -7.74214405E+01
7.50000000E+01, -6.92288549E+01
7.81250000E+01, -7.04873329E+01
8.12500000E+01, -7.92463406E+01
8.43750000E+01, -6.47867163E+01
8.75000000E+01, -6.66917695E+01
9.06250000E+01, -7.15145050E+01
9.37500000E+01, -6.95816233E+01
9.68750000E+01, -8.51747487E+01
1.00000000E+02, -6.58320040E+01
1.03125000E+02, -6.61207097E+01
1.06250000E+02, -7.80003992E+01
1.09375000E+02, -7.61454418E+01
1.12500000E+02, -6.95745175E+01
1.15625000E+02, -6.98536929E+01
1.18750000E+02, -7.42970516E+01
1.21875000E+02, -7.02364790E+01
1.25000000E+02, -6.65925401E+01
1.28125000E+02, -6.99219859E+01
1.31250000E+02, -7.73750228E+01
1.34375000E+02, -6.71983618E+01
1.37500000E+02, -6.99950763E+01
1.40625000E+02, -7.37558870E+01
1.43750000E+02, -6.69242135E+01
1.46875000E+02, -6.49723311E+01
1.50000000E+02, -6.43488331E+01
1.53125000E+02, -7.46543711E+01
1.56250000E+02, -8.20784627E+01
1.59375000E+02, -7.20914908E+01
1.62500000E+02, -7.55919351E+01
1.65625000E+02, -7.52883015E+01
1.68750000E+02, -7.98537058E+01
1.71875000E+02, -6.96763959E+01
1.75000000E+02, -6.89769727E+01
1.78125000E+02, -6.70320249E+01
1.81250000E+02, -6.93717243E+01
1.84375000E+02, -8.07798175E+01
1.87500000E+02, -8.45250878E+01
1.90625000E+02, -7.22689504E+01
1.93750000E+02, -7.03915749E+01
1.96875000E+02, -6.50067318E+01
2.00000000E+02, -6.10967437E+01
2.03125000E+02, -6.37820314E+01
2.06250000E+02, -6.97335213E+01
2.09375000E+02, -7.46882318E+01
2.12500000E+02, -7.95054444E+01
2.15625000E+02, -6.57326441E+01
2.18750000E+02, -6.64614228E+01
2.21875000E+02, -7.44127522E+01
2.25000000E+02, -7.04505644E+01
2.28125000E+02, -7.21956186E+01
2.31250000E+02, -9.54318799E+01
2.34375000E+02, -7.46573113E+01
2.37500000E+02, -7.05220540E+01
2.40625000E+02, -6.68122792E+01
2.43750000E+02, -7.57665857E+01
2.46875000E+02, -7.45555136E+01
2.50000000E+02, -7.21946844E+01
2.53125000E+02, -7.42469319E+01
2.56250000E+02, -7.74243413E+01
2.59375000E+02, -7.81168441E+01
2.62500000E+02, -7.81984967E+01
2.65625000E+02, -7.89927557E+01
2.68750000E+02, -8.34992460E+01
2.71875000E+02, -7.59987024E+01
2.75000000E+02, -7.16806186E+01
2.78125000E+02, -7.91467772E+01
2.81250000E+02, -7.16403427E+01
2.84375000E+02, -6.93222510E+01
2.87500000E+02, -6.92066240E+01
2.90625000E+02, -7.08021277E+01
2.93750000E+02, -7.47994631E+01
2.96875000E+02, -7.64261155E+01
3.00000000E+02, -7.58442733E+01
3.03125000E+02, -7.02094210E+01
3.06250000E+02, -7.16883771E+01
3.09375000E+02, -7.22451345E+01
3.12500000E+02, -8.11249219E+01
3.15625000E+02, -7.59419377E+01
3.18750000E+02, -6.84303845E+01
3.21875000E+02, -6.74089844E+01
3.25000000E+02, -7.28259164E+01
3.28125000E+02, -7.51161648E+01
3.31250000E+02, -7.41366141E+01
3.34375000E+02, -7.83274387E+01
3.37500000E+02, -7.29858136E+01
3.40625000E+02, -6.79943526E+01
3.43750000E+02, -6.61214207E+01
3.46875000E+02, -7.29973007E+01
3.50000000E+02, -6.76771282E+01
3.53125000E+02, -6.78470456E+01
3.56250000E+02, -7.07388675E+01
3.59375000E+02, -7.52812488E+01
3.62500000E+02, -7.03558935E+01
3.65625000E+02, -7.63837981E+01
3.68750000E+02, -7.71840854E+01
3.71875000E+02, -6.90004876E+01
3.75000000E+02, -6.77311330E+01
3.78125000E+02, -6.82429543E+01
3.81250000E+02, -6.89891826E+01
3.84375000E+02, -6.88740349E+01
3.87500000E+02, -6.95232412E+01
3.90625000E+02, -7.44649815E+01
3.93750000E+02, -7.96651946E+01
3.96875000E+02, -7.08061395E+01
4.00000000E+02, -6.62991274E+01
4.03125000E+02, -7.28905608E+01
4.06250000E+02, -7.43897889E+01
4.09375000E+02, -7.59208496E+01
4.12500000E+02, -7.76531103E+01
4.15625000E+02, -6.94266002E+01
4.18750000E+02, -7.28719095E+01
4.21875000E+02, -8.02565828E+01
4.25000000E+02, -7.00733439E+01
4.28125000E+02, -6.85422030E+01
4.31250000E+02, -7.79065830E+01
4.34375000E+02, -7.45304066E+01
4.37500000E+02, -7.33759209E+01
4.40625000E+02, -7.36927141E+01
4.43750000E+02, -8.33658415E+01
4.46875000E+02, -7.70567182E+01
4.50000000E+02, -7.33214161E+01
4.53125000E+02, -7.38630077E+01
