Trace1,
Freq,,Amp,,
            18501379,Hz,              -54.93, dBm,
            18506374,Hz,              -53.10, dBm,
            18511369,Hz,              -57.66, dBm,
            18516364,Hz,              -54.44, dBm,
            18521359,Hz,              -55.68, dBm,
            18526354,Hz,              -52.20, dBm,
            18531349,Hz,              -53.82, dBm,
            18536344,Hz,              -53.95, dBm,
            18541339,Hz,              -53.20, dBm,
            18546334,Hz,              -56.66, dBm,
            18551329,Hz,              -55.06, dBm,
            18556324,Hz,              -54.20, dBm,
            18561319,Hz,              -54.38, dBm,
            18566314,Hz,              -52.73, dBm,
            18571309,Hz,              -52.69, dBm,
            18576304,Hz,              -55.35, dBm,
            18581299,Hz,              -51.89, dBm,
            18586294,Hz,              -54.32, dBm,
            18591289,Hz,              -53.94, dBm,
            18596284,Hz,              -55.08, dBm,
            18601279,Hz,              -52.65, dBm,
            18606274,Hz,              -51.86, dBm,
            18611269,Hz,              -54.11, dBm,
            18616264,Hz,              -52.62, dBm,
            18621259,Hz,              -51.87, dBm,
            18626254,Hz,              -52.66, dBm,
            18631249,Hz,              -52.30, dBm,
            18636244,Hz,              -52.57, dBm,
            18641239,Hz,              -51.91, dBm,
            18646234,Hz,              -52.70, dBm,
            18651229,Hz,              -52.41, dBm,
            18656224,Hz,              -54.09, dBm,
            18661219,Hz,              -53.29, dBm,
            18666214,Hz,              -52.40, dBm,
            18671209,Hz,              -52.37, dBm,
            18676204,Hz,              -55.61, dBm,
            18681199,Hz,              -56.91, dBm,
            18686194,Hz,              -57.03, dBm,
            18691189,Hz,              -54.46, dBm,
            18696184,Hz,              -53.10, dBm,
            18701179,Hz,              -52.42, dBm,
            18706174,Hz,              -54.30, dBm,
            18711169,Hz,              -54.34, dBm,
            18716164,Hz,              -51.37, dBm,
            18721159,Hz,              -52.95, dBm,
            18726154,Hz,              -51.23, dBm,
            18731149,Hz,              -50.89, dBm,
            18736144,Hz,              -54.25, dBm,
            18741139,Hz,              -54.81, dBm,
            18746134,Hz,              -54.63, dBm,
            18751129,Hz,              -52.67, dBm,
            18756124,Hz,              -52.50, dBm,
            18761119,Hz,              -55.83, dBm,
            18766114,Hz,              -52.31, dBm,
            18771109,Hz,              -54.89, dBm,
            18776104,Hz,              -50.11, dBm,
            18781099,Hz,              -53.24, dBm,
            18786094,Hz,              -54.56, dBm,
            18791089,Hz,              -54.05, dBm,
            18796084,Hz,              -50.87, dBm,
            18801079,Hz,              -53.02, dBm,
            18806074,Hz,              -51.13, dBm,
            18811069,Hz,              -54.13, dBm,
            18816064,Hz,              -50.79, dBm,
            18821059,Hz,              -55.55, dBm,
            18826054,Hz,              -51.05, dBm,
            18831049,Hz,              -47.22, dBm,
            18836044,Hz,              -49.16, dBm,
            18841039,Hz,              -51.46, dBm,
            18846034,Hz,              -47.87, dBm,
            18851029,Hz,              -52.25, dBm,
            18856024,Hz,              -50.79, dBm,
            18861019,Hz,              -52.67, dBm,
            18866014,Hz,              -50.82, dBm,
            18871009,Hz,              -48.42, dBm,
            18876004,Hz,              -50.80, dBm,
            18880999,Hz,              -49.43, dBm,
            18885994,Hz,              -50.28, dBm,
            18890989,Hz,              -53.38, dBm,
            18895984,Hz,              -53.37, dBm,
            18900979,Hz,              -50.69, dBm,
            18905974,Hz,              -47.26, dBm,
            18910969,Hz,              -48.66, dBm,
            18915964,Hz,              -52.24, dBm,
            18920959,Hz,              -52.92, dBm,
            18925954,Hz,              -50.84, dBm,
            18930949,Hz,              -48.56, dBm,
            18935944,Hz,              -48.74, dBm,
            18940939,Hz,              -52.27, dBm,
            18945934,Hz,              -49.97, dBm,
            18950929,Hz,              -50.06, dBm,
            18955924,Hz,              -50.54, dBm,
            18960919,Hz,              -47.84, dBm,
            18965914,Hz,              -47.06, dBm,
            18970909,Hz,              -48.88, dBm,
            18975904,Hz,              -50.81, dBm,
            18980899,Hz,              -51.98, dBm,
            18985894,Hz,              -46.14, dBm,
            18990889,Hz,              -50.68, dBm,
            18995884,Hz,              -53.20, dBm,
            19000879,Hz,              -49.52, dBm,
            19005874,Hz,              -48.58, dBm,
            19010869,Hz,              -45.72, dBm,
            19015864,Hz,              -53.29, dBm,
