mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
14.000	-0.691	14.000	3512007789.544	801.687	218.251	1019.938	0.214	-1.460	0.091	-1.677	-0.443
15.000	-0.249	15.000	3512007791.035	500.522	256.731	757.253	0.339	-1.460	0.091	-1.677	-0.443
16.000	-0.249	16.000	3512007792.535	652.903	47.459	700.362	0.068	-3.747	0.091	-1.677	-0.443
17.000	-3.996	17.000	3512007794.044	1587.968	438.870	2026.837	0.217	-3.747	0.091	-1.677	-0.443
18.000	-3.996	18.000	3512007795.544	1179.887	678.433	1858.319	0.365	-3.747	-1.694	-1.677	-0.443
19.000	-5.690	19.000	3512007797.044	1153.558	546.614	1700.172	0.322	-3.747	-1.694	-1.677	-0.443
20.000	-5.690	20.000	3512007798.544	1190.409	466.891	1657.301	0.282	-3.747	-1.694	-0.686	-0.443
21.000	-5.004	21.000	3512007800.044	530.048	488.203	1018.251	0.479	-3.747	-1.694	-0.686	-0.443
22.000	-5.004	22.000	3512007801.543	862.338	9.472	871.810	0.011	-3.747	-1.694	-0.686	-2.413
23.000	-2.591	23.000	3512007803.043	472.150	345.728	817.878	0.423	-3.747	-1.694	-0.686	-2.413
24.000	-2.591	24.000	3512007804.543	526.318	256.238	782.556	0.327	1.321	-1.694	-0.686	-2.413
25.000	-1.269	25.000	3512007806.035	1195.516	843.798	2039.314	0.414	1.321	-1.694	-0.686	-2.413
26.000	-1.269	26.000	3512007807.543	1339.905	565.065	1904.969	0.297	1.321	-0.354	-0.686	-2.413
27.000	-1.623	27.000	3512007809.044	1029.060	602.854	1631.914	0.369	1.321	-0.354	-0.686	-2.413
36.000	1.011	36.000	3512007822.543	1173.982	408.184	1582.166	0.258	-1.042	-1.465	1.832	-0.848
37.000	-0.694	37.000	3512007824.042	486.669	375.723	862.392	0.436	-1.042	-1.465	1.832	-0.848
38.000	-0.694	38.000	3512007825.543	587.191	285.838	873.028	0.327	-1.042	-1.465	1.832	0.344
39.000	-1.010	39.000	3512007827.045	594.073	446.566	1040.638	0.429	-1.042	-1.465	1.832	0.344
40.000	-1.010	40.000	3512007828.544	815.940	183.520	999.460	0.184	-1.262	-1.465	1.832	0.344
41.000	-2.391	41.000	3512007830.043	1491.575	281.990	1773.564	0.159	-1.262	-1.465	1.832	0.344
42.000	-2.391	42.000	3512007831.535	976.002	955.588	1931.589	0.495	-1.262	0.219	1.832	0.344
43.000	-2.238	43.000	3512007833.036	1376.845	362.798	1739.643	0.209	-1.262	0.219	1.832	0.344
44.000	-2.238	44.000	3512007834.544	1204.928	501.227	1706.155	0.294	-1.262	0.219	-0.963	0.344
45.000	-1.093	45.000	3512007836.044	539.905	91.464	631.369	0.145	-1.262	0.219	-0.963	0.344
46.000	-1.093	46.000	3512007837.544	696.193	237.491	933.684	0.254	-1.262	0.219	-0.963	-2.184
47.000	1.229	47.000	3512007839.044	758.264	102.909	861.173	0.119	-1.262	0.219	-0.963	-2.184
48.000	1.229	48.000	3512007840.544	596.914	311.096	908.010	0.343	2.987	0.219	-0.963	-2.184
49.000	4.241	49.000	3512007842.043	822.600	949.766	1772.366	0.536	2.987	0.219	-0.963	-2.184
50.000	4.241	50.000	3512007843.544	1640.404	214.107	1854.511	0.115	2.987	0.758	-0.963	-2.184
51.000	4.968	51.000	3512007845.043	1254.257	508.134	1762.391	0.288	2.987	0.758	-0.963	-2.184
52.000	4.968	52.000	3512007846.544	1429.859	300.835	1730.694	0.174	2.987	0.758	0.974	-2.184
53.000	4.136	53.000	3512007848.043	461.627	269.854	731.481	0.369	2.987	0.758	0.974	-2.184
54.000	4.136	54.000	3512007849.543	835.875	151.355	987.230	0.153	2.987	0.758	0.974	1.985
55.000	2.197	55.000	3512007851.045	584.438	346.616	931.054	0.372	2.987	0.758	0.974	1.985
56.000	2.197	56.000	3512007852.544	784.282	88.504	872.786	0.101	-3.740	0.758	0.974	1.985
57.000	-1.703	57.000	3512007854.043	1464.802	380.163	1844.965	0.206	-3.740	0.758	0.974	1.985
58.000	-1.703	58.000	3512007855.544	1413.031	441.435	1854.466	0.238	-3.740	-1.019	0.974	1.985
59.000	-2.806	59.000	3512007857.044	1128.027	647.747	1775.775	0.365	-3.740	-1.019	0.974	1.985
60.000	-2.806	60.000	3512007858.543	1613.631	495.406	2109.037	0.235	-3.740	-1.019	-1.918	1.985
61.000	-0.642	61.000	3512007860.044	720.968	165.365	886.333	0.187	-3.740	-1.019	-1.918	1.985
62.000	-0.642	62.000	3512007861.544	637.052	373.355	1010.407	0.370	-3.740	-1.019	-1.918	-2.410
63.000	1.936	63.000	3512007863.045	665.379	110.112	775.491	0.142	-3.740	-1.019	-1.918	-2.410
64.000	1.936	64.000	3512007864.543	663.825	136.851	800.676	0.171	0.285	-1.019	-1.918	-2.410
65.000	2.066	65.000	3512007866.045	1375.336	626.633	2001.968	0.313	0.285	-1.019	-1.918	-2.410
66.000	2.066	66.000	3512007867.544	1521.589	419.827	1941.417	0.216	0.285	-1.155	-1.918	-2.410
67.000	0.765	67.000	3512007869.044	1297.813	517.705	1815.518	0.285	0.285	-1.155	-1.918	-2.410
68.000	0.765	68.000	3512007870.545	1395.982	381.939	1777.921	0.215	0.285	-1.155	1.627	-2.410
69.000	-0.686	69.000	3512007872.043	596.737	323.923	920.660	0.352	0.285	-1.155	1.627	-2.410
70.000	-0.686	70.000	3512007873.544	919.125	113.664	1032.789	0.110	0.285	-1.155	1.627	0.257
71.000	-0.780	71.000	3512007875.043	572.183	312.872	885.056	0.354	0.285	-1.155	1.627	0.257
72.000	-0.780	72.000	3512007876.544	657.387	68.672	726.059	0.095	-0.861	-1.155	1.627	0.257
73.000	-1.845	73.000	3512007878.044	1393.495	540.398	1933.893	0.279	-0.861	-1.155	1.627	0.257
74.000	-1.845	74.000	3512007879.545	1478.433	634.625	2113.057	0.300	-0.861	-0.626	1.627	0.257
75.000	-2.655	75.000	3512007881.044	1339.239	428.016	1767.255	0.242	-0.861	-0.626	1.627	0.257
76.000	-2.655	76.000	3512007882.545	1153.824	656.923	1810.747	0.363	-0.861	-0.626	-2.151	0.257
77.000	-0.212	77.000	3512007884.045	674.969	372.270	1047.239	0.355	-0.861	-0.626	-2.151	0.257
78.000	-0.212	78.000	3512007885.544	664.003	344.840	1008.843	0.342	-0.861	-0.626	-2.151	-2.303
79.000	2.379	79.000	3512007887.044	837.207	119.288	956.495	0.125	-0.861	-0.626	-2.151	-2.303
80.000	2.379	80.000	3512007888.544	453.103	283.766	736.868	0.385	0.186	-0.626	-2.151	-2.303
81.000	2.359	81.000	3512007890.044	1511.599	534.182	2045.781	0.261	0.186	-0.626	-2.151	-2.303
82.000	2.359	82.000	3512007891.544	1344.256	543.259	1887.515	0.288	0.186	1.073	-2.151	-2.303
83.000	3.292	83.000	3512007893.044	1105.206	650.017	1755.223	0.370	0.186	1.073	-2.151	-2.303
84.000	3.292	84.000	3512007894.544	1384.704	250.811	1635.515	0.153	0.186	1.073	-0.122	-2.303
85.000	3.726	85.000	3512007896.043	704.407	239.958	944.364	0.254	0.186	1.073	-0.122	-2.303
86.000	3.726	86.000	3512007897.545	701.565	236.800	938.365	0.252	0.186	1.073	-0.122	2.316
87.000	1.596	87.000	3512007899.045	522.278	64.429	586.707	0.110	0.186	1.073	-0.122	2.316
88.000	1.596	88.000	3512007900.545	664.313	283.766	948.079	0.299	0.238	1.073	-0.122	2.316
89.000	1.629	89.000	3512007902.045	1093.129	897.572	1990.700	0.451	0.238	1.073	-0.122	2.316
90.000	1.629	90.000	3512007903.545	1285.736	552.731	1838.468	0.301	0.238	-1.930	-0.122	2.316
91.000	-0.544	91.000	3512007905.045	1139.793	614.990	1754.783	0.350	0.238	-1.930	-0.122	2.316
92.000	-0.544	92.000	3512007906.545	762.526	947.398	1709.925	0.554	0.238	-1.930	-0.015	2.316
93.000	-0.199	93.000	3512007908.044	702.009	250.910	952.919	0.263	0.238	-1.930	-0.015	2.316
94.000	-0.199	94.000	3512007909.544	643.579	277.155	920.734	0.301	0.238	-1.930	-0.015	1.686
95.000	-1.774	95.000	3512007911.044	427.706	318.891	746.597	0.427	0.238	-1.930	-0.015	1.686
96.000	-1.774	96.000	3512007912.544	832.101	49.432	881.533	0.056	-1.336	-1.930	-0.015	1.686
97.000	-3.392	97.000	3512007914.044	1411.522	408.283	1819.805	0.224	-1.336	-1.930	-0.015	1.686
98.000	-3.392	98.000	3512007915.545	1150.450	605.617	1756.066	0.345	-1.336	1.811	-0.015	1.686
99.000	-1.746	99.000	3512007917.045	913.975	747.105	1661.079	0.450	-1.336	1.811	-0.015	1.686
100.000	-1.746	100.000	3512007918.546	1311.000	378.091	1689.091	0.224	-1.336	1.811	0.335	1.686
101.000	-1.752	101.000	3512007920.045	696.681	183.323	880.004	0.208	-1.336	1.811	0.335	1.686
102.000	-1.752	102.000	3512007921.545	763.237	382.728	1145.965	0.334	-1.336	1.811	0.335	-3.301
103.000	1.830	103.000	3512007923.046	737.351	34.928	772.279	0.045	-1.336	1.811	0.335	-3.301
104.000	1.830	104.000	3512007924.545	544.433	372.960	917.394	0.407	1.072	1.811	0.335	-3.301
105.000	2.661	105.000	3512007926.044	1407.837	469.555	1877.392	0.250	1.072	1.811	0.335	-3.301
106.000	2.661	106.000	3512007927.545	1587.257	378.288	1965.545	0.192	1.072	-2.010	0.335	-3.301
107.000	0.377	107.000	3512007929.045	1521.989	375.427	1897.416	0.198	1.072	-2.010	0.335	-3.301
108.000	0.377	108.000	3512007930.545	861.139	863.630	1724.769	0.501	1.072	-2.010	1.118	-3.301
109.000	-0.451	109.000	3512007932.045	586.968	154.216	741.185	0.208	1.072	-2.010	1.118	-3.301
110.000	-0.451	110.000	3512007933.545	643.934	182.928	826.862	0.221	1.072	-2.010	1.118	3.214
111.000	-3.531	111.000	3512007935.045	511.045	238.182	749.226	0.318	1.072	-2.010	1.118	3.214
112.000	-3.531	112.000	3512007936.545	670.529	179.475	850.004	0.211	-0.513	-2.010	1.118	3.214
113.000	-4.323	113.000	3512007938.038	1640.759	108.632	1749.391	0.062	-0.513	-2.010	1.118	3.214
114.000	-4.323	114.000	3512007939.545	1167.277	597.230	1764.507	0.338	-0.513	2.694	1.118	3.214
115.000	-1.781	115.000	3512007941.044	1253.235	636.894	1890.129	0.337	-0.513	2.694	1.118	3.214
116.000	-1.781	116.000	3512007942.545	1290.443	413.019	1703.462	0.242	-0.513	2.694	0.117	3.214
117.000	-1.600	117.000	3512007944.044	740.060	172.174	912.234	0.189	-0.513	2.694	0.117	3.214
118.000	-1.600	118.000	3512007945.544	668.842	224.171	893.013	0.251	-0.513	2.694	0.117	-0.950
119.000	-0.461	119.000	3512007947.044	592.163	240.846	833.009	0.289	-0.513	2.694	0.117	-0.950
120.000	-0.461	120.000	3512007948.544	617.693	225.750	843.443	0.268	2.459	2.694	0.117	-0.950
121.000	1.827	121.000	3512007950.045	806.749	989.529	1796.278	0.551	2.459	2.694	0.117	-0.950
122.000	1.827	122.000	3512007951.545	1442.646	408.382	1851.028	0.221	2.459	-0.841	0.117	-0.950
123.000	0.784	123.000	3512007953.039	1087.357	608.971	1696.328	0.359	2.459	-0.841	0.117	-0.950
124.000	0.784	124.000	3512007954.545	1182.195	549.771	1731.967	0.317	2.459	-0.841	0.554	-0.950
125.000	0.516	125.000	3512007956.045	762.926	135.864	898.790	0.151	2.459	-0.841	0.554	-0.950
126.000	0.516	126.000	3512007957.545	663.381	369.014	1032.395	0.357	2.459	-0.841	0.554	-0.191
127.000	0.914	127.000	3512007959.045	639.938	55.549	695.487	0.080	2.459	-0.841	0.554	-0.191
128.000	0.914	128.000	3512007960.545	646.420	82.584	729.004	0.113	-2.938	-0.841	0.554	-0.191
129.000	-2.349	129.000	3512007962.043	1524.253	286.134	1810.387	0.158	-2.938	-0.841	0.554	-0.191
130.000	-2.349	130.000	3512007963.544	1254.878	734.475	1989.354	0.369	-2.938	-0.370	0.554	-0.191
131.000	-2.950	131.000	3512007965.045	1052.769	588.054	1640.823	0.358	-2.938	-0.370	0.554	-0.191
132.000	-2.950	132.000	3512007966.545	1096.814	696.193	1793.007	0.388	-2.938	-0.370	1.835	-0.191
133.000	-4.577	133.000	3512007968.045	587.945	304.979	892.924	0.342	-2.938	-0.370	1.835	-0.191
142.000	-0.264	142.000	3512007981.546	759.729	110.309	870.039	0.127	1.878	0.266	-2.114	-0.334
143.000	0.305	143.000	3512007983.044	583.195	271.334	854.528	0.318	1.878	0.266	-2.114	-0.334
144.000	0.305	144.000	3512007984.546	649.750	156.485	806.236	0.194	-0.054	0.266	-2.114	-0.334
145.000	-0.013	145.000	3512007986.046	1501.299	291.560	1792.859	0.163	-0.054	0.266	-2.114	-0.334
146.000	-0.013	146.000	3512007987.545	1102.453	640.545	1742.998	0.367	-0.054	-1.182	-2.114	-0.334
147.000	-1.495	147.000	3512007989.046	1490.021	240.747	1730.768	0.139	-0.054	-1.182	-2.114	-0.334
148.000	-1.495	148.000	3512007990.545	1090.643	642.518	1733.161	0.371	-0.054	-1.182	-0.886	-0.334
149.000	-0.225	149.000	3512007992.046	628.616	349.576	978.192	0.357	-0.054	-1.182	-0.886	-0.334
150.000	-0.225	150.000	3512007993.545	666.889	209.174	876.062	0.239	-0.054	-1.182	-0.886	-1.098
151.000	1.175	151.000	3512007995.043	671.773	235.715	907.488	0.260	-0.054	-1.182	-0.886	-1.098
152.000	1.175	152.000	3512007996.543	612.144	224.171	836.314	0.268	1.823	-1.182	-0.886	-1.098
153.000	2.813	153.000	3512007998.044	846.442	905.465	1751.907	0.517	1.823	-1.182	-0.886	-1.098
154.000	2.813	154.000	3512007999.545	1379.776	461.168	1840.944	0.251	1.823	2.061	-0.886	-1.098
155.000	4.661	155.000	3512008001.044	1091.930	591.803	1683.734	0.351	1.823	2.061	-0.886	-1.098
156.000	4.661	156.000	3512008002.546	1392.075	328.462	1720.536	0.191	1.823	2.061	-1.055	-1.098
157.000	6.173	157.000	3512008004.045	703.741	12.432	716.173	0.017	1.823	2.061	-1.055	-1.098
158.000	6.173	158.000	3512008005.546	464.868	570.491	1035.360	0.551	1.823	2.061	-1.055	0.074
159.000	6.412	159.000	3512008007.046	727.894	246.174	974.068	0.253	1.823	2.061	-1.055	0.074
160.000	6.412	160.000	3512008008.546	502.831	292.448	795.279	0.368	-2.369	2.061	-1.055	0.074
161.000	3.730	161.000	3512008010.046	1458.630	390.424	1849.055	0.211	-2.369	2.061	-1.055	0.074
162.000	3.730	162.000	3512008011.545	1514.308	387.168	1901.476	0.204	-2.369	-1.428	-1.055	0.074
163.000	2.008	163.000	3512008013.045	1258.342	381.347	1639.689	0.233	-2.369	-1.428	-1.055	0.074
172.000	-2.379	172.000	3512008026.545	1603.108	202.563	1805.671	0.112	-0.067	1.497	-2.073	1.023
173.000	0.052	173.000	3512008028.045	734.732	367.632	1102.364	0.333	-0.067	1.497	-2.073	1.023
182.000	-1.345	182.000	3512008041.545	596.648	252.883	849.531	0.298	-0.388	-3.231	-2.232	0.285
183.000	-1.353	183.000	3512008043.044	662.271	181.547	843.818	0.215	-0.388	-3.231	-2.232	0.285
184.000	-1.353	184.000	3512008044.546	611.033	193.979	805.012	0.241	-0.138	-3.231	-2.232	0.285
185.000	-1.884	185.000	3512008046.044	1375.869	361.910	1737.778	0.208	-0.138	-3.231	-2.232	0.285
186.000	-1.884	186.000	3512008047.544	1544.677	519.283	2063.961	0.252	-0.138	2.440	-2.232	0.285
187.000	0.250	187.000	3512008049.045	1275.480	438.475	1713.955	0.256	-0.138	2.440	-2.232	0.285
188.000	0.250	188.000	3512008050.546	1251.948	532.011	1783.959	0.298	-0.138	2.440	2.404	0.285
189.000	-1.971	189.000	3512008052.045	700.011	325.699	1025.710	0.318	-0.138	2.440	2.404	0.285
190.000	-1.971	190.000	3512008053.545	741.259	199.504	940.763	0.212	-0.138	2.440	2.404	0.230
191.000	-1.921	191.000	3512008055.047	568.010	261.270	829.279	0.315	-0.138	2.440	2.404	0.230
192.000	-1.921	192.000	3512008056.547	692.552	114.749	807.301	0.142	0.386	2.440	2.404	0.230
193.000	-1.877	193.000	3512008058.047	1580.730	404.632	1985.363	0.204	0.386	2.440	2.404	0.230
