mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
166.000	1.864	166.000	3511943018.816	891.864	413.808	1305.672	0.317	-2.093	0.487	-1.539	1.096
167.000	0.769	167.000	3511943020.316	1124.564	315.635	1440.199	0.219	-2.093	0.487	-1.539	1.096
168.000	0.769	168.000	3511943021.816	891.642	428.806	1320.447	0.325	-0.095	0.487	-1.539	1.096
169.000	0.674	169.000	3511943023.316	965.079	577.201	1542.280	0.374	-0.095	0.487	-1.539	1.096
170.000	0.674	170.000	3511943024.816	1382.084	324.811	1706.896	0.190	-0.095	0.120	-1.539	1.096
171.000	0.794	171.000	3511943026.317	1655.766	179.870	1835.636	0.098	-0.095	0.120	-1.539	1.096
172.000	0.794	172.000	3511943027.818	1416.406	359.936	1776.342	0.203	-0.095	0.120	0.977	1.096
173.000	-0.183	173.000	3511943029.318	855.367	308.038	1163.405	0.265	-0.095	0.120	0.977	1.096
174.000	-0.183	174.000	3511943030.818	1120.923	77.749	1198.673	0.065	-0.095	0.120	0.977	0.465
175.000	-0.648	175.000	3511943032.318	1168.609	320.272	1488.881	0.215	-0.095	0.120	0.977	0.465
176.000	-0.648	176.000	3511943033.816	954.024	541.681	1495.704	0.362	-0.809	0.120	0.977	0.465
177.000	-1.457	177.000	3511943035.316	626.840	850.803	1477.643	0.576	-0.809	0.120	0.977	0.465
178.000	-1.457	178.000	3511943036.816	1564.169	259.494	1823.663	0.142	-0.809	0.460	0.977	0.465
179.000	-0.997	179.000	3511943038.317	1774.314	145.040	1919.354	0.076	-0.809	0.460	0.977	0.465
180.000	-0.997	180.000	3511943039.816	1186.902	696.094	1882.996	0.370	-0.809	0.460	-0.880	0.465
181.000	-0.117	181.000	3511943041.317	655.922	548.785	1204.706	0.456	-0.809	0.460	-0.880	0.465
182.000	-0.117	182.000	3511943042.817	1186.902	56.931	1243.833	0.046	-0.809	0.460	-0.880	0.647
183.000	-0.764	183.000	3511943044.316	1111.422	359.443	1470.865	0.244	-0.809	0.460	-0.880	0.647
184.000	-0.764	184.000	3511943045.830	1022.711	325.008	1347.719	0.241	-1.907	0.460	-0.880	0.647
185.000	-2.671	185.000	3511943047.316	1167.144	531.123	1698.267	0.313	-1.907	0.460	-0.880	0.647
186.000	-2.671	186.000	3511943048.816	1112.177	571.675	1683.852	0.340	-1.907	1.294	-0.880	0.647
187.000	-1.377	187.000	3511943050.317	1655.988	230.683	1886.671	0.122	-1.907	1.294	-0.880	0.647
188.000	-1.377	188.000	3511943051.817	626.129	984.201	1610.330	0.611	-1.907	1.294	-1.803	0.647
189.000	0.426	189.000	3511943053.317	988.878	176.318	1165.195	0.151	-1.907	1.294	-1.803	0.647
190.000	0.426	190.000	3511943054.818	917.438	368.027	1285.465	0.286	-1.907	1.294	-1.803	-0.014
191.000	0.440	191.000	3511943056.317	1108.580	277.747	1386.327	0.200	-1.907	1.294	-1.803	-0.014
192.000	0.440	192.000	3511943057.817	707.515	708.427	1415.942	0.500	0.118	1.294	-1.803	-0.014
193.000	0.558	193.000	3511943059.317	1198.446	396.246	1594.692	0.248	0.118	1.294	-1.803	-0.014
194.000	0.558	194.000	3511943060.817	1644.178	90.083	1734.261	0.052	0.118	2.151	-1.803	-0.014
195.000	2.709	195.000	3511943062.318	716.395	926.382	1642.777	0.564	0.118	2.151	-1.803	-0.014
196.000	2.709	196.000	3511943063.818	1705.228	234.432	1939.660	0.121	0.118	2.151	0.594	-0.014
197.000	2.115	197.000	3511943065.317	621.245	503.299	1124.544	0.448	0.118	2.151	0.594	-0.014
198.000	2.115	198.000	3511943066.818	1207.281	121.557	1328.839	0.091	0.118	2.151	0.594	1.320
199.000	0.795	199.000	3511943068.318	1068.842	302.414	1371.256	0.221	0.118	2.151	0.594	1.320
200.000	0.795	200.000	3511943069.817	1170.252	235.715	1405.967	0.168	-0.865	2.151	0.594	1.320
201.000	-0.070	201.000	3511943071.316	847.552	654.062	1501.614	0.436	-0.865	2.151	0.594	1.320
202.000	-0.070	202.000	3511943072.817	1385.059	176.811	1561.870	0.113	-0.865	-1.949	0.594	1.320
203.000	-2.019	203.000	3511943074.317	1660.650	244.891	1905.541	0.129	-0.865	-1.949	0.594	1.320
204.000	-2.019	204.000	3511943075.817	891.553	895.500	1787.052	0.501	-0.865	-1.949	-1.567	1.320
205.000	-0.452	205.000	3511943077.317	673.815	609.070	1282.885	0.475	-0.865	-1.949	-1.567	1.320
206.000	-0.452	206.000	3511943078.817	902.209	335.664	1237.873	0.271	-0.865	-1.949	-1.567	-0.233
207.000	-0.220	207.000	3511943080.320	1017.027	499.550	1516.577	0.329	-0.865	-1.949	-1.567	-0.233
208.000	-0.220	208.000	3511943081.817	983.328	402.166	1385.493	0.290	-1.418	-1.949	-1.567	-0.233
209.000	-1.638	209.000	3511943083.318	1028.927	519.184	1548.111	0.335	-1.418	-1.949	-1.567	-0.233
210.000	-1.638	210.000	3511943084.818	1712.909	32.659	1745.568	0.019	-1.418	1.639	-1.567	-0.233
211.000	0.001	211.000	3511943086.318	566.722	1097.470	1664.193	0.659	-1.418	1.639	-1.567	-0.233
212.000	0.001	212.000	3511943087.818	1663.803	210.259	1874.062	0.112	-1.418	1.639	-0.896	-0.233
213.000	0.897	213.000	3511943089.317	703.830	552.337	1256.166	0.440	-1.418	1.639	-0.896	-0.233
214.000	0.897	214.000	3511943090.817	1059.296	234.630	1293.926	0.181	-1.418	1.639	-0.896	-0.172
215.000	1.069	215.000	3511943092.319	780.553	509.318	1289.870	0.395	-1.418	1.639	-0.896	-0.172
216.000	1.069	216.000	3511943093.817	954.734	198.912	1153.646	0.172	-1.393	1.639	-0.896	-0.172
217.000	-0.324	217.000	3511943095.317	1660.428	109.421	1769.850	0.062	-1.393	1.639	-0.896	-0.172
218.000	-0.324	218.000	3511943096.817	705.783	840.838	1546.621	0.544	-1.393	-2.408	-0.896	-0.172
219.000	-2.732	219.000	3511943098.318	952.248	783.315	1735.563	0.451	-1.393	-2.408	-0.896	-0.172
220.000	-2.732	220.000	3511943099.818	992.297	830.577	1822.873	0.456	-1.393	-2.408	-1.137	-0.172
221.000	-1.595	221.000	3511943101.319	1208.170	95.805	1303.975	0.073	-1.393	-2.408	-1.137	-0.172
222.000	-1.595	222.000	3511943102.819	1190.720	180.955	1371.675	0.132	-1.393	-2.408	-1.137	-0.979
223.000	-0.616	223.000	3511943104.318	679.143	608.379	1287.522	0.473	-1.393	-2.408	-1.137	-0.979
224.000	-0.616	224.000	3511943105.818	1126.829	340.894	1467.722	0.232	2.120	-2.408	-1.137	-0.979
225.000	1.504	225.000	3511943107.318	584.749	934.078	1518.827	0.615	2.120	-2.408	-1.137	-0.979
226.000	1.504	226.000	3511943108.818	999.445	522.835	1522.280	0.343	2.120	0.019	-1.137	-0.979
227.000	1.524	227.000	3511943110.317	1062.848	765.950	1828.798	0.419	2.120	0.019	-1.137	-0.979
228.000	1.524	228.000	3511943111.817	1704.296	41.440	1745.736	0.024	2.120	0.019	0.257	-0.979
229.000	1.254	229.000	3511943113.318	899.900	330.632	1230.532	0.269	2.120	0.019	0.257	-0.979
230.000	1.254	230.000	3511943114.820	1053.657	250.120	1303.778	0.192	2.120	0.019	0.257	-1.057
231.000	2.363	231.000	3511943116.319	637.007	602.163	1239.171	0.486	2.120	0.019	0.257	-1.057
232.000	2.363	232.000	3511943117.817	1043.401	357.963	1401.364	0.255	-1.195	0.019	0.257	-1.057
233.000	1.109	233.000	3511943119.318	992.785	661.955	1654.740	0.400	-1.195	0.019	0.257	-1.057
234.000	1.109	234.000	3511943120.818	1181.752	442.816	1624.568	0.273	-1.195	-1.738	0.257	-1.057
235.000	-0.715	235.000	3511943122.318	1829.415	24.667	1854.082	0.013	-1.195	-1.738	0.257	-1.057
236.000	-0.715	236.000	3511943123.818	1254.612	598.907	1853.519	0.323	-1.195	-1.738	-0.338	-1.057
237.000	-0.374	237.000	3511943125.318	941.547	187.960	1129.508	0.166	-1.195	-1.738	-0.338	-1.057
238.000	-0.374	238.000	3511943126.818	857.054	270.347	1127.401	0.240	-1.195	-1.738	-0.338	-1.014
239.000	0.747	239.000	3511943128.318	976.490	348.886	1325.376	0.263	-1.195	-1.738	-0.338	-1.014
240.000	0.747	240.000	3511943129.827	986.125	492.544	1478.669	0.333	-0.561	-1.738	-0.338	-1.014
241.000	0.095	241.000	3511943131.318	926.407	576.115	1502.522	0.383	-0.561	-1.738	-0.338	-1.014
242.000	0.095	242.000	3511943132.819	682.295	799.694	1481.990	0.540	-0.561	1.363	-0.338	-1.014
243.000	1.436	243.000	3511943134.318	707.071	929.540	1636.610	0.568	-0.561	1.363	-0.338	-1.014
244.000	1.436	244.000	3511943135.818	1687.735	310.504	1998.239	0.155	-0.561	1.363	0.323	-1.014
245.000	1.101	245.000	3511943137.319	777.445	438.771	1216.216	0.361	-0.561	1.363	0.323	-1.014
246.000	1.101	246.000	3511943138.819	1175.536	162.997	1338.533	0.122	-0.561	1.363	0.323	0.307
247.000	0.889	247.000	3511943140.320	993.851	507.049	1500.899	0.338	-0.561	1.363	0.323	0.307
248.000	0.889	248.000	3511943141.818	889.244	446.566	1335.810	0.334	0.687	1.363	0.323	0.307
249.000	1.516	249.000	3511943143.318	631.369	854.553	1485.922	0.575	0.687	1.363	0.323	0.307
250.000	1.516	250.000	3511943144.819	1333.289	204.931	1538.220	0.133	0.687	-1.815	0.323	0.307
251.000	-0.414	251.000	3511943146.319	1837.807	145.040	1982.847	0.073	0.687	-1.815	0.323	0.307
252.000	-0.414	252.000	3511943147.819	1364.369	453.966	1818.335	0.250	0.687	-1.815	-1.052	0.307
253.000	0.677	253.000	3511943149.319	748.762	476.264	1225.027	0.389	0.687	-1.815	-1.052	0.307
254.000	0.677	254.000	3511943150.819	847.064	340.302	1187.366	0.287	0.687	-1.815	-1.052	-0.016
255.000	0.795	255.000	3511943152.319	970.541	474.784	1445.325	0.328	0.687	-1.815	-1.052	-0.016
256.000	0.795	256.000	3511943153.819	772.516	464.622	1237.138	0.376	-1.944	-1.815	-1.052	-0.016
257.000	-1.311	257.000	3511943155.319	1334.665	488.105	1822.770	0.268	-1.944	-1.815	-1.052	-0.016
258.000	-1.311	258.000	3511943156.819	1408.236	241.339	1649.575	0.146	-1.944	0.777	-1.052	-0.016
259.000	-0.615	259.000	3511943158.318	1434.654	327.870	1762.524	0.186	-1.944	0.777	-1.052	-0.016
260.000	-0.615	260.000	3511943159.819	966.323	693.923	1660.246	0.418	-1.944	0.777	-0.450	-0.016
261.000	-0.102	261.000	3511943161.319	1149.872	137.739	1287.611	0.107	-1.944	0.777	-0.450	-0.016
262.000	-0.102	262.000	3511943162.819	968.187	275.379	1243.566	0.221	-1.944	0.777	-0.450	0.207
263.000	-0.212	263.000	3511943164.319	1155.556	197.334	1352.889	0.146	-1.944	0.777	-0.450	0.207
264.000	-0.212	264.000	3511943165.819	1289.688	188.158	1477.846	0.127	-0.535	0.777	-0.450	0.207
265.000	-0.943	265.000	3511943167.319	1470.441	96.792	1567.233	0.062	-0.535	0.777	-0.450	0.207
