mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
306.000	-3.672	306.000	3512090347.296	965.213	505.766	1470.978	0.344	-0.999	0.925	-0.765	-1.088
307.000	-2.746	307.000	3512090348.796	1511.555	281.496	1793.051	0.157	-0.999	0.925	-0.765	-1.088
308.000	-2.746	308.000	3512090350.296	1783.905	100.640	1884.545	0.053	-0.999	0.925	0.845	-1.088
309.000	-3.591	309.000	3512090351.796	1816.139	642.617	2458.756	0.261	-0.999	0.925	0.845	-1.088
310.000	-3.591	310.000	3512090353.296	2554.956	44.005	2598.962	0.017	-0.999	0.925	0.845	-0.793
311.000	-2.798	311.000	3512090354.796	2179.687	534.281	2713.968	0.197	-0.999	0.925	0.845	-0.793
312.000	-2.798	312.000	3512090356.296	2088.267	916.417	3004.684	0.305	3.363	0.925	0.845	-0.793
313.000	0.565	313.000	3512090357.796	1300.699	278.635	1579.334	0.176	3.363	0.925	0.845	-0.793
314.000	0.565	314.000	3512090359.296	1218.692	235.320	1454.013	0.162	3.363	-0.922	0.845	-0.793
315.000	-0.356	315.000	3512090360.797	1647.419	385.590	2033.009	0.190	3.363	-0.922	0.845	-0.793
316.000	-0.356	316.000	3512090362.297	1602.575	194.176	1796.751	0.108	3.363	-0.922	-2.174	-0.793
317.000	1.818	317.000	3512090363.796	1811.921	630.382	2442.303	0.258	3.363	-0.922	-2.174	-0.793
318.000	1.818	318.000	3512090365.297	2210.367	378.880	2589.248	0.146	3.363	-0.922	-2.174	0.962
319.000	0.856	319.000	3512090366.796	2114.863	811.139	2926.002	0.277	3.363	-0.922	-2.174	0.962
320.000	0.856	320.000	3512090368.296	2679.943	449.723	3129.666	0.144	-0.130	-0.922	-2.174	0.962
321.000	0.727	321.000	3512090369.797	1284.537	251.896	1536.434	0.164	-0.130	-0.922	-2.174	0.962
322.000	0.727	322.000	3512090371.296	1254.523	374.440	1628.964	0.230	-0.130	-0.726	-2.174	0.962
323.000	0.001	323.000	3512090372.796	1490.465	218.251	1708.716	0.128	-0.130	-0.726	-2.174	0.962
324.000	0.001	324.000	3512090374.296	1500.322	260.776	1761.098	0.148	-0.130	-0.726	-0.994	0.962
325.000	0.995	325.000	3512090375.796	1976.556	487.019	2463.575	0.198	-0.130	-0.726	-0.994	0.962
326.000	0.995	326.000	3512090377.297	2122.233	444.494	2566.727	0.173	-0.130	-0.726	-0.994	-1.188
327.000	2.183	327.000	3512090378.797	2444.400	503.299	2947.699	0.171	-0.130	-0.726	-0.994	-1.188
328.000	2.183	328.000	3512090380.296	2191.719	564.867	2756.587	0.205	0.586	-0.726	-0.994	-1.188
