mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
18.000	11.026	18.000	3514346026.896	1998.757	122.741	2121.498	0.058	0.472	-0.739	-1.906	-2.649
19.000	10.288	19.000	3514346028.397	1743.012	656.134	2399.146	0.273	0.472	-0.739	-1.906	-2.649
28.000	10.853	28.000	3514346041.898	2315.374	25.160	2340.533	0.011	-2.356	-2.008	-1.551	-0.788
29.000	12.698	29.000	3514346043.397	1216.117	786.275	2002.393	0.393	-2.356	-2.008	-1.551	-0.788
38.000	13.385	38.000	3514346056.897	1456.277	549.870	2006.147	0.274	-3.410	-3.230	-2.287	1.869
39.000	11.723	39.000	3514346058.398	1424.886	510.995	1935.882	0.264	-3.410	-3.230	-2.287	1.869
40.000	11.723	40.000	3514346059.897	1881.629	217.856	2099.486	0.104	-3.157	-3.230	-2.287	1.869
41.000	8.098	41.000	3514346061.398	1246.398	683.563	1929.961	0.354	-3.157	-3.230	-2.287	1.869
42.000	8.098	42.000	3514346062.897	2276.612	8.781	2285.394	0.004	-3.157	-3.596	-2.287	1.869
43.000	4.042	43.000	3514346064.398	1122.255	802.950	1925.206	0.417	-3.157	-3.596	-2.287	1.869
44.000	4.042	44.000	3514346065.897	2290.198	-6.611	2283.588	-0.003	-3.157	-3.596	0.853	1.869
45.000	3.591	45.000	3514346067.398	718.837	1500.130	2218.966	0.676	-3.157	-3.596	0.853	1.869
46.000	3.591	46.000	3514346068.897	1832.701	461.070	2293.770	0.201	-3.157	-3.596	0.853	-1.410
47.000	5.288	47.000	3514346070.397	989.766	842.516	1832.281	0.460	-3.157	-3.596	0.853	-1.410
48.000	5.288	48.000	3514346071.897	2255.211	207.990	2463.201	0.084	-3.083	-3.596	0.853	-1.410
49.000	1.561	49.000	3514346073.397	1241.514	595.553	1837.067	0.324	-3.083	-3.596	0.853	-1.410
50.000	1.561	50.000	3514346074.897	1668.998	246.075	1915.073	0.128	-3.083	-3.696	0.853	-1.410
51.000	-2.803	51.000	3514346076.397	1209.724	1086.913	2296.637	0.473	-3.083	-3.696	0.853	-1.410
60.000	-1.548	60.000	3514346089.897	2436.940	118.893	2555.834	0.047	-1.722	-3.943	0.246	-3.303
61.000	-1.145	61.000	3514346091.397	1618.470	700.929	2319.399	0.302	-1.722	-3.943	0.246	-3.303
72.000	-4.480	72.000	3514346107.897	2032.767	138.528	2171.295	0.064	0.208	-2.191	-1.830	2.751
73.000	-5.062	73.000	3514346109.397	1057.520	775.323	1832.844	0.423	0.208	-2.191	-1.830	2.751
74.000	-5.062	74.000	3514346110.897	2007.015	129.451	2136.466	0.061	0.208	0.654	-1.830	2.751
75.000	-5.482	75.000	3514346112.398	1094.949	941.380	2036.329	0.462	0.208	0.654	-1.830	2.751
76.000	-5.482	76.000	3514346113.898	2004.129	274.984	2279.113	0.121	0.208	0.654	-1.559	2.751
77.000	-3.032	77.000	3514346115.398	781.663	1403.732	2185.395	0.642	0.208	0.654	-1.559	2.751
78.000	-3.032	78.000	3514346116.898	2098.657	170.792	2269.449	0.075	0.208	0.654	-1.559	-2.063
79.000	-0.495	79.000	3514346118.398	823.976	1202.156	2026.132	0.593	0.208	0.654	-1.559	-2.063
80.000	-0.495	80.000	3514346119.898	2229.281	-40.749	2188.532	-0.019	-3.189	0.654	-1.559	-2.063
81.000	-4.674	81.000	3514346121.397	1210.168	872.116	2082.283	0.419	-3.189	0.654	-1.559	-2.063
82.000	-4.674	82.000	3514346122.897	1955.822	122.840	2078.662	0.059	-3.189	-3.006	-1.559	-2.063
83.000	-8.957	83.000	3514346124.397	1904.629	339.019	2243.648	0.151	-3.189	-3.006	-1.559	-2.063
112.000	6.730	112.000	3514346167.898	1859.829	236.603	2096.432	0.113	0.493	-2.423	-3.735	-1.901
113.000	5.872	113.000	3514346169.398	1363.392	547.206	1910.598	0.286	0.493	-2.423	-3.735	-1.901
114.000	5.872	114.000	3514346170.898	1852.059	76.763	1928.822	0.040	0.493	-0.581	-3.735	-1.901
115.000	3.633	115.000	3514346172.399	1576.379	213.416	1789.796	0.119	0.493	-0.581	-3.735	-1.901
