Trace
Log Plot
A.14.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,10
Stop Offset,100000000
Threshold,0.01
Trace Type,View,View,Smoothed,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
Trace Name,Trace2
DATA,
10,-91.4444433315182
10.272275691833,-91.0958826979503
10.5519647889024,-90.7498884942291
10.839269140212,-90.5491439357697
11.1343960906236,-90.2332189365211
11.4375586304954,-90.1401481750153
11.7489755493953,-90.0882227297473
12.0688715939994,-90.1496484210686
12.3974776302894,-90.1922194530657
12.7350308101666,-90.179028308947
13.0817747426019,-90.3562586378675
13.4379596694465,-90.524324237996
13.8038426460288,-90.5759805704945
14.179687726669,-90.6994042693076
14.5657661552446,-90.618744001898
14.9623565609443,-90.4811114148363
15.3697451593527,-90.4470619359278
15.7882259590087,-90.3863176059346
16.2181009735893,-90.3114481518876
16.6596804398695,-90.3982687851235
17.1132830416178,-90.6948648690008
17.5792361395869,-90.7430253772604
18.0578760077672,-90.7619194767752
18.5495480760722,-91.0464211068258
19.0546071796325,-91.2486531929388
19.5734178148766,-91.3464583077049
20.1063544025849,-91.7355609551169
20.6538015581053,-91.7341973853446
21.2161543689268,-91.8884775711278
21.7938186798105,-91.8788407744156
22.3872113856834,-91.805020105871
22.9967607325083,-92.0776998441768
23.6229066263446,-92.4477160317261
24.2661009508242,-92.3652045532971
24.9268078932718,-92.3339759008871
25.6055042797048,-92.6341735633834
26.3026799189538,-92.7574539592915
27.0188379561534,-92.872263324306
27.7544952358571,-93.0675213660061
28.5101826750391,-93.1774850730531
29.2864456462524,-93.306632149095
30.0838443712188,-93.3222027373373
30.9029543251359,-93.4311380299329
31.744366651992,-93.5143910781805
32.6086885911893,-93.7610842405976
33.4965439157828,-94.074252601243
34.4085733826513,-94.1397459118644
35.3454351949263,-94.2710256698109
36.3078054770101,-94.4108932499431
37.2963787625294,-94.1243919922005
38.3118684955729,-94.129460447347
39.3550075455777,-94.3591892261511
40.4265487362344,-94.4663707333345
41.5272653887925,-94.9730953621906
42.6579518801593,-94.9760574141292
43.8194242161944,-94.9756760378413
45.0125206206134,-95.0801374554838
46.238102139926,-95.248953883906
47.4970532648456,-95.226642158269
48.7902825686172,-95.2170816827423
50.1187233627272,-95.4572273769992
51.4833343704648,-95.4814526212684
52.8851004188238,-95.6048893008159
54.3250331492433,-95.6038469586649
55.8041717476997,-95.8673901300705
57.3235836946771,-96.0286860621459
58.8843655355589,-96.1199370763582
60.4876436719933,-96.2109195543299
62.1345751748076,-96.2669170236177
63.8263486190549,-96.5050813725516
65.5641849417979,-96.7588233824312
67.3493383232477,-97.1110128291916
69.1830970918936,-97.5044756036344
71.0667846542785,-97.5615245274281
73.0017604500878,-97.5763254686045
74.9894209332456,-97.449059272136
77.0312005797215,-97.1936008488187
79.1285729227788,-97.2809875883792
81.2830516164099,-97.5924887774008
83.4961915277258,-97.7142478578291
85.7695898590894,-97.8859254992915
88.1048873008014,-98.2272078195585
90.5037692151712,-98.4754395590235
92.9679668528271,-98.572351382246
95.4992586021436,-98.7724161668026
98.0994712726877,-98.9426957102609
100.77048141361,-99.1601592097752
103.514216667934,-99.2928793068774
106.332657163716,-99.4529671077829
109.227836943086,-99.6629038577318
112.201845430196,-99.7578176222027
115.256828939141,-99.9391774146656
118.39499222293,-100.178709629722
121.618600064637,-100.186162989823
124.929978911873,-100.189246454664
128.331518555765,-100.259401621105
131.825673855641,-100.658842151843
135.414966510681,-100.898166607383
139.101986879805,-101.329465872664
142.88939585111,-101.567892251621
146.779926762207,-101.827305879637
150.776387372845,-101.816726952874
154.881661891248,-102.115512792044
159.098713055617,-102.318087274758
163.430584272314,-102.331462962777
167.880401812256,-102.494403194045
172.45137706712,-102.758278391513
177.146808866971,-103.088994029272
181.970085860998,-103.498404315854
186.924688963071,-103.624230902314
192.01419386388,-103.705480718298
197.242273611485,-103.933578152499
202.612701262114,-104.09302990039
208.129352603145,-104.215599675815
213.796208950223,-104.381862251557
219.617360020544,-104.421066567404
225.597006884358,-104.620106350486
231.739464996848,-104.872026178757
238.049167312551,-105.275772711684
244.530667484582,-105.421947981467
251.188643150958,-105.431783470452
258.027899310411,-105.660978297492
265.053371790108,-105.871830624514
272.270130807791,-106.101550423858
279.683384630908,-106.187517054206
287.298483335367,-106.293324319099
295.120922666639,-106.380721074155
303.156348005985,-106.569839149903
311.410558444676,-106.69238669472
319.88951096914,-106.77758365709
328.599324760065,-106.821765726686
337.546285608557,-106.722479299317
346.736850452532,-106.956930516872
356.177652036629,-107.129434259871
365.875503699003,-107.237947808929
375.837404288444,-107.228808550941
386.070543215381,-107.510181165684
396.582305640414,-107.675148212324
407.380277804113,-107.755972708285
418.472252501938,-107.800375972979
429.866234708228,-107.847684761247
441.570447353312,-107.824786248059
453.593337257927,-107.939982738316
465.943581229204,-108.263290530634
478.630092322638,-108.547231699777
491.662026274564,-108.792420517775
505.048788109759,-108.780419103386
518.800038928961,-108.843991708726
532.9257028812,-108.940369636627
547.435974325959,-108.98145868579
562.341325190349,-108.928153494442
577.6525125266,-108.9590566472
593.380586275328,-108.985886528859
609.536897240169,-108.974770380687
626.133105279552,-108.985993189926
643.181187721509,-109.116560427795
660.693448007596,-109.351974277368
678.682524572179,-109.37791569642
697.161399963467,-109.623647700154
716.143410212902,-109.509085264514
735.642254459641,-109.524069775696
755.672004837103,-109.522457924669
776.247116628692,-109.671814516369
797.38243870004,-109.83019112569
819.093224215297,-109.914927346587
841.395141645195,-109.903651718569
864.304286074836,-109.94290303483
887.837190819365,-109.605530303936
912.01083935591,-109.358452581721
936.842677580396,-109.46914932376
962.350626398088,-109.832303027026
988.553094656938,-109.909649307726
1015.46899243308,-110.27337884516
1043.11774467805,-110.415075129272
1071.51930523761,-110.635535391491
1100.69417125221,-110.755649854496
1130.66339794964,-111.122275584529
1161.44861384034,-111.492424801062
1193.07203632653,-111.253738596433
1225.55648773628,-111.211303073168
1258.92541179417,-111.420182280576
1293.20289054041,-111.453841311342
1328.41366171065,-111.79666605779
1364.58313658892,-111.95631881765
1401.73741834677,-112.203880195979
1439.90332088163,-112.103759982763
1479.10838816821,-111.949753296281
1519.38091413666,-111.902268453014
1560.74996309211,-111.913579112442
1603.24539069004,-112.01395003412
1646.89786548287,-112.192602710853
1691.73889105314,-112.363420264981
1737.80082874938,-112.350764103942
1785.11692104095,-112.29161129384
1833.72131550888,-112.327593996471
1883.6490894898,-112.1528492339
1934.93627539095,-112.189535432657
1987.61988669444,-111.968934017944
2041.73794466953,-111.989080812563
2097.3295058122,-111.713318318171
2154.43469003188,-111.540347928845
2213.09470960564,-111.743163648678
2273.35189892063,-111.610245360165
2335.24974502649,-111.496574976857
2398.83291901949,-111.485948963024
2464.14730828128,-111.443702698118
2531.24004959536,-111.33534254249
2600.15956316527,-111.25939018025
2670.95558755899,-111.442295792358
2743.67921560478,-111.644398153935
2818.38293126445,-111.804440935764
2895.1206475105,-111.980863639938
2973.94774523461,-111.881100639513
3054.92111321551,-111.885751832771
3138.09918917513,-112.064838690773
3223.54200195246,-111.984797265575
3311.31121482591,-111.909138274889
3401.47017001504,-111.941052383267
3494.08393439407,-111.916860286796
3589.21934645005,-111.999276225411
3686.94506451957,-112.144850602241
3787.33161633883,-112.081529724053
3890.45144994281,-112.156358491544
3996.37898595041,-112.269266237773
4105.19067127308,-112.328798442157
4216.96503428582,-112.500670025084
4331.78274150041,-112.435722040344
4449.72665578166,-112.480710237499
4570.88189614875,-112.454221195318
4695.33589920485,-112.619871831854
4823.17848223931,-112.654012933718
4954.5019080479,-112.580573480739
5089.40095151809,-112.619610045646
5227.97296802712,-112.49536482422
5370.31796370253,-112.404630607071
5516.53866759558,-112.481998785594
5666.74060581991,-112.561490325697
5821.03217770872,-112.434230671959
