Trace
Log Plot
A.14.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,10
Stop Offset,100000000
Threshold,0.01
Trace Type,View,View,Smoothed,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
Trace Name,Trace1
DATA,
10,-75.5495701279876
10.272275691833,-76.5529174565801
10.5519647889024,-77.5672092211863
10.839269140212,-78.3237374448343
11.1343960906236,-78.6164613884054
11.4375586304954,-78.7774034442694
11.7489755493953,-78.8653281038499
12.0688715939994,-78.997201475894
12.3974776302894,-79.2899353658702
12.7350308101666,-79.544868402038
13.0817747426019,-79.6911987178146
13.4379596694465,-79.8890440290364
13.8038426460288,-80.1354302940247
14.179687726669,-80.3366702002363
14.5657661552446,-80.5051910188472
14.9623565609443,-80.6369127459478
15.3697451593527,-80.8593597935847
15.7882259590087,-81.4226099790985
16.2181009735893,-81.858876308359
16.6596804398695,-82.0354064433122
17.1132830416178,-82.1668992121005
17.5792361395869,-82.2117873970334
18.0578760077672,-82.4155983991124
18.5495480760722,-82.2818137376668
19.0546071796325,-82.5109031116941
19.5734178148766,-82.9511339268119
20.1063544025849,-83.3705761207738
20.6538015581053,-83.561423575821
21.2161543689268,-83.9137299149252
21.7938186798105,-84.1943486243773
22.3872113856834,-84.3150469628742
22.9967607325083,-84.413531499214
23.6229066263446,-84.5239670141606
24.2661009508242,-84.8645559377458
24.9268078932718,-85.225087335065
25.6055042797048,-85.626435012228
26.3026799189538,-86.0379049674589
27.0188379561534,-86.1561648812525
27.7544952358571,-86.390113431089
28.5101826750391,-86.7151559891276
29.2864456462524,-86.7626907189804
30.0838443712188,-87.1208133702093
30.9029543251359,-87.5343620755357
31.744366651992,-87.7156225396281
32.6086885911893,-88.0553515089045
33.4965439157828,-88.3472661661032
34.4085733826513,-88.5982815290672
35.3454351949263,-88.9344963413035
36.3078054770101,-89.1649251236153
37.2963787625294,-89.4368594787043
38.3118684955729,-89.9271107790552
39.3550075455777,-90.1739358768131
40.4265487362344,-90.4810238956389
41.5272653887925,-90.7838789359733
42.6579518801593,-91.0360928840019
43.8194242161944,-91.4203546132787
45.0125206206134,-91.6624925015694
46.238102139926,-91.7940042936301
47.4970532648456,-91.8009270804619
48.7902825686172,-91.9161721722842
50.1187233627272,-92.204384609734
51.4833343704648,-92.5961052260151
52.8851004188238,-92.7463411525762
54.3250331492433,-93.1238993088421
55.8041717476997,-93.2246336260598
57.3235836946771,-93.3151202190272
58.8843655355589,-93.4684542224511
60.4876436719933,-93.8165752459479
62.1345751748076,-94.1196182382155
63.8263486190549,-94.3879661262706
65.5641849417979,-94.5486977479495
67.3493383232477,-94.5817779982421
69.1830970918936,-94.9220934946896
71.0667846542785,-95.0495216517497
73.0017604500878,-95.1336202128762
74.9894209332456,-95.2824474347111
77.0312005797215,-95.6203912986804
79.1285729227788,-95.8550656415899
81.2830516164099,-95.9758406429051
83.4961915277258,-96.3414035588079
85.7695898590894,-96.7156217356718
88.1048873008014,-97.2254191295153
90.5037692151712,-97.4465317670078
92.9679668528271,-97.7314926553321
95.4992586021436,-98.0099046949033
98.0994712726877,-98.4227529840054
100.77048141361,-98.5421383433514
103.514216667934,-98.775824321565
106.332657163716,-99.0167956950688
109.227836943086,-99.2010687161122
112.201845430196,-99.1291346794093
115.256828939141,-99.4625684959496
118.39499222293,-99.8216566815169
121.618600064637,-99.9426610867022
124.929978911873,-100.165797041251
128.331518555765,-100.305284610339
131.825673855641,-100.54314269549
135.414966510681,-100.80944541162
139.101986879805,-101.011271950904
142.88939585111,-101.310069733193
146.779926762207,-101.452072248458
150.776387372845,-101.616226347369
154.881661891248,-101.63611392169
159.098713055617,-101.71770388223
163.430584272314,-101.935909931436
167.880401812256,-102.140324874639
172.45137706712,-102.319749636374
177.146808866971,-102.336058603502
181.970085860998,-102.357097692882
186.924688963071,-102.419842949611
192.01419386388,-102.373829039678
197.242273611485,-102.532980994204
202.612701262114,-102.878069000928
208.129352603145,-103.180447156951
213.796208950223,-103.276122178859
219.617360020544,-103.288746768265
225.597006884358,-103.448056454337
231.739464996848,-103.750690271466
238.049167312551,-103.929895480787
244.530667484582,-104.201117934807
251.188643150958,-104.539234956302
258.027899310411,-104.803263554771
265.053371790108,-104.712760297864
272.270130807791,-104.886348842438
279.683384630908,-105.097900474847
287.298483335367,-105.341662657895
295.120922666639,-105.371345365
303.156348005985,-105.463848536067
311.410558444676,-105.565255567926
319.88951096914,-105.795905702031
328.599324760065,-105.926723000053
337.546285608557,-106.117806504314
346.736850452532,-106.309440700293
356.177652036629,-106.476396492903
365.875503699003,-106.596680327507
375.837404288444,-106.647471310095
386.070543215381,-106.714547476321
396.582305640414,-106.75013872203
407.380277804113,-106.861909552948
418.472252501938,-106.96525469962
429.866234708228,-107.035640748968
441.570447353312,-107.167198034177
453.593337257927,-107.178014653779
465.943581229204,-107.178107234105
478.630092322638,-107.382935818731
491.662026274564,-107.977346557932
505.048788109759,-108.247506361439
518.800038928961,-108.565072083568
532.9257028812,-108.612782185234
547.435974325959,-108.782436391593
562.341325190349,-108.638879634921
577.6525125266,-108.791695323886
593.380586275328,-108.933294431679
609.536897240169,-109.006021643232
626.133105279552,-109.092589420455
643.181187721509,-109.29263754826
660.693448007596,-109.444080326335
678.682524572179,-109.378713334412
697.161399963467,-109.337083751336
716.143410212902,-109.418293717854
735.642254459641,-109.528487265497
755.672004837103,-109.788328099474
776.247116628692,-109.91375436941
797.38243870004,-109.792035748366
819.093224215297,-109.673053770518
841.395141645195,-109.653011315966
864.304286074836,-109.639715659661
887.837190819365,-109.580756661919
912.01083935591,-109.289928042376
936.842677580396,-108.965769928851
962.350626398088,-108.750619781653
988.553094656938,-108.819432978332
1015.46899243308,-108.952349996809
1043.11774467805,-109.215937215141
1071.51930523761,-109.238690385244
1100.69417125221,-109.177204085938
1130.66339794964,-109.285913691067
1161.44861384034,-109.327007817809
1193.07203632653,-109.249155633205
1225.55648773628,-109.35698631604
1258.92541179417,-109.483987847125
1293.20289054041,-109.664798068069
1328.41366171065,-109.587823163459
1364.58313658892,-109.625896117684
1401.73741834677,-109.407353148712
1439.90332088163,-109.4836780661
1479.10838816821,-109.762461069122
1519.38091413666,-110.026178293226
1560.74996309211,-110.08223261657
1603.24539069004,-110.203406406467
1646.89786548287,-110.256226435451
1691.73889105314,-110.199342425012
1737.80082874938,-110.395604486901
1785.11692104095,-110.536014882213
1833.72131550888,-110.444201373422
1883.6490894898,-110.331038160475
1934.93627539095,-110.367229913474
1987.61988669444,-110.40657310381
2041.73794466953,-110.473236017422
2097.3295058122,-110.533685794069
2154.43469003188,-110.567551080006
2213.09470960564,-110.642780359753
2273.35189892063,-110.619203835842
2335.24974502649,-110.702898051465
2398.83291901949,-110.630299852656
2464.14730828128,-110.754937050547
2531.24004959536,-110.701721393138
2600.15956316527,-110.8300941679
2670.95558755899,-110.806392127308
2743.67921560478,-110.853094808335
2818.38293126445,-110.870747941388
2895.1206475105,-110.947138253193
2973.94774523461,-111.091457934396
3054.92111321551,-111.193589733237
3138.09918917513,-111.222143209667
3223.54200195246,-111.332131982134
3311.31121482591,-111.498657133839
3401.47017001504,-111.604260269637
3494.08393439407,-111.783375606659
3589.21934645005,-111.795120021962
3686.94506451957,-111.88097424628
3787.33161633883,-111.900681174073
3890.45144994281,-111.841663310176
3996.37898595041,-111.857538047661
4105.19067127308,-111.872741082146
4216.96503428582,-111.925778804752
4331.78274150041,-111.968730700624
4449.72665578166,-112.058995841286
4570.88189614875,-112.203888928879
4695.33589920485,-112.274711979842
4823.17848223931,-112.263035201188
4954.5019080479,-112.307293889455
5089.40095151809,-112.318024839754
5227.97296802712,-112.359465170633
5370.31796370253,-112.392547822202
5516.53866759558,-112.407178120366
5666.74060581991,-112.34657040676
5821.03217770872,-112.324306932243
