Trace
Log Plot
A.14.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,10
Stop Offset,100000000
Threshold,0.01
Trace Type,View,View,Smoothed,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
Trace Name,Trace2
DATA,
10,-70.1784043388027
10.272275691833,-70.5075561644712
10.5519647889024,-70.6548434968535
10.839269140212,-70.6308252903976
11.1343960906236,-70.677461681117
11.4375586304954,-70.8185796718033
11.7489755493953,-71.0291777060771
12.0688715939994,-71.2742215752602
12.3974776302894,-71.7121116845241
12.7350308101666,-72.0950493816755
13.0817747426019,-72.5187897215271
13.4379596694465,-72.671856814929
13.8038426460288,-72.7946631846674
14.179687726669,-72.9693857382447
14.5657661552446,-73.1347906681346
14.9623565609443,-73.2041264285711
15.3697451593527,-73.6820823972819
15.7882259590087,-73.9874236465002
16.2181009735893,-74.2573174719248
16.6596804398695,-74.5391098311259
17.1132830416178,-74.8778834115787
17.5792361395869,-75.2793364625053
18.0578760077672,-75.4415586501007
18.5495480760722,-75.5758883225265
19.0546071796325,-75.9310037366184
19.5734178148766,-76.2344107510344
20.1063544025849,-76.446327399513
20.6538015581053,-76.546187083141
21.2161543689268,-76.8703608294098
21.7938186798105,-77.0601847836809
22.3872113856834,-77.3788296126732
22.9967607325083,-77.3005819164585
23.6229066263446,-77.5606385665134
24.2661009508242,-77.8385756853532
24.9268078932718,-78.2951961394812
25.6055042797048,-78.7778780445015
26.3026799189538,-79.1181006741167
27.0188379561534,-79.3368748718576
27.7544952358571,-79.7598756208782
28.5101826750391,-80.1167348770444
29.2864456462524,-80.5820398767325
30.0838443712188,-81.1439915092273
30.9029543251359,-81.6385697238397
31.744366651992,-82.0993399134928
32.6086885911893,-82.5048823595667
33.4965439157828,-82.7226929606067
34.4085733826513,-82.9300636413418
35.3454351949263,-83.3781039835671
36.3078054770101,-83.8930262303869
37.2963787625294,-84.2966845447771
38.3118684955729,-84.7653872529918
39.3550075455777,-85.1875009542139
40.4265487362344,-85.6580944554456
41.5272653887925,-85.9485196553325
42.6579518801593,-86.3430220050863
43.8194242161944,-86.5654149189645
45.0125206206134,-86.6974467440222
46.238102139926,-87.0401513563305
47.4970532648456,-87.4558314435698
48.7902825686172,-87.8539530054808
50.1187233627272,-88.3948846736741
51.4833343704648,-88.7524574887964
52.8851004188238,-89.036430705677
54.3250331492433,-89.3007143607449
55.8041717476997,-89.4446144783929
57.3235836946771,-89.7303072742368
58.8843655355589,-90.0884887888718
60.4876436719933,-90.5662221281027
62.1345751748076,-91.0527395070479
63.8263486190549,-91.5624499502456
65.5641849417979,-92.0762136285617
67.3493383232477,-92.4392865865447
69.1830970918936,-92.6786996392425
71.0667846542785,-93.1396972586317
73.0017604500878,-93.2602203735695
74.9894209332456,-93.2999278698733
77.0312005797215,-93.6512447259469
79.1285729227788,-94.025586624332
81.2830516164099,-94.5241116049419
83.4961915277258,-94.9839941962667
85.7695898590894,-95.4841483450605
88.1048873008014,-95.919150882496
90.5037692151712,-96.2717619363466
92.9679668528271,-96.3771886833462
95.4992586021436,-96.6237910146878
98.0994712726877,-96.8103909690502
100.77048141361,-97.138318090644
103.514216667934,-97.5711518856875
106.332657163716,-97.7273879612121
109.227836943086,-97.8675963782624
112.201845430196,-97.9413891535642
115.256828939141,-98.2320048004337
118.39499222293,-98.3592600968559
121.618600064637,-98.3487249524874
124.929978911873,-98.4395151083764
128.331518555765,-98.7521808546311
131.825673855641,-99.0204843446487
135.414966510681,-99.4288968814191
139.101986879805,-100.085028259863
142.88939585111,-100.243410312721
146.779926762207,-100.560633315964
150.776387372845,-100.608604365363
154.881661891248,-100.761538984184
159.098713055617,-100.784070921046
163.430584272314,-100.606023205051
167.880401812256,-100.839637830709
172.45137706712,-101.157356552109
177.146808866971,-101.252675892106
181.970085860998,-101.505991907608
186.924688963071,-101.670588976533
192.01419386388,-101.830321514224
197.242273611485,-102.186049329439
202.612701262114,-102.504110800402
208.129352603145,-102.828637385516
213.796208950223,-102.871825887569
219.617360020544,-103.197793350548
225.597006884358,-103.402466449598
231.739464996848,-103.620091835205
238.049167312551,-103.975476563509
244.530667484582,-103.962618953502
251.188643150958,-104.014286424792
258.027899310411,-103.937214676218
265.053371790108,-104.118245653032
272.270130807791,-104.255365081864
279.683384630908,-104.377115273586
287.298483335367,-104.58181373034
295.120922666639,-104.736109524762
303.156348005985,-104.935203756585
311.410558444676,-105.015501335148
319.88951096914,-105.263478686471
328.599324760065,-105.348372066661
337.546285608557,-105.528147119138
346.736850452532,-105.780064440415
356.177652036629,-105.765967938356
365.875503699003,-105.729224706964
375.837404288444,-105.768974990679
386.070543215381,-105.789338059258
396.582305640414,-105.980315220768
407.380277804113,-106.045468186407
418.472252501938,-106.080120462769
429.866234708228,-106.186591245088
441.570447353312,-106.100090245418
453.593337257927,-106.30178076052
465.943581229204,-106.338689632519
478.630092322638,-106.518855850213
491.662026274564,-106.726906026429
505.048788109759,-106.85425415919
518.800038928961,-107.294790224451
532.9257028812,-107.501309882962
547.435974325959,-107.6140665636
562.341325190349,-107.638993649137
577.6525125266,-107.690546730701
593.380586275328,-107.639071839409
609.536897240169,-108.033763116999
626.133105279552,-108.355088645658
643.181187721509,-108.565369424567
660.693448007596,-108.707111678805
678.682524572179,-108.807815910724
697.161399963467,-108.904607426914
716.143410212902,-108.834459160272
735.642254459641,-108.815154381018
755.672004837103,-108.838623494443
776.247116628692,-109.080873068436
797.38243870004,-109.212532031328
819.093224215297,-109.332288899634
841.395141645195,-109.43105019486
864.304286074836,-109.593014951649
887.837190819365,-109.742415009723
912.01083935591,-109.750334646057
936.842677580396,-109.676072034947
962.350626398088,-109.617930207628
988.553094656938,-109.697634988018
1015.46899243308,-109.660544309698
1043.11774467805,-109.659455661593
1071.51930523761,-109.808492071277
1100.69417125221,-109.96313905096
1130.66339794964,-109.785172478587
1161.44861384034,-109.718529275225
1193.07203632653,-109.617268790329
1225.55648773628,-109.749045035307
1258.92541179417,-109.916009233514
1293.20289054041,-109.991917875501
1328.41366171065,-110.09600092018
1364.58313658892,-110.165996738198
1401.73741834677,-110.271792450236
1439.90332088163,-110.216804095504
1479.10838816821,-110.049932621802
1519.38091413666,-110.191466307124
1560.74996309211,-110.147993240914
1603.24539069004,-109.989858452366
1646.89786548287,-109.881594616131
1691.73889105314,-109.547377146495
1737.80082874938,-109.571227551306
1785.11692104095,-109.571928279741
1833.72131550888,-109.4685248527
1883.6490894898,-109.601167445516
1934.93627539095,-109.727286539835
1987.61988669444,-109.571081860237
2041.73794466953,-109.515293217146
2097.3295058122,-109.661494733157
2154.43469003188,-109.513738235019
2213.09470960564,-109.606759276001
2273.35189892063,-109.523094017332
2335.24974502649,-109.448540532128
2398.83291901949,-109.59326473197
2464.14730828128,-109.741868253965
2531.24004959536,-109.953227416777
2600.15956316527,-110.048281541728
2670.95558755899,-110.192421021245
2743.67921560478,-110.454667004578
2818.38293126445,-110.43059963628
2895.1206475105,-110.379306149572
2973.94774523461,-110.594634383168
3054.92111321551,-110.747738335057
3138.09918917513,-111.152172979781
3223.54200195246,-111.277457050722
3311.31121482591,-111.204297878748
3401.47017001504,-111.352453917955
3494.08393439407,-111.305675392772
3589.21934645005,-111.388225084088
3686.94506451957,-111.592420967685
3787.33161633883,-111.691107460191
3890.45144994281,-111.651049814843
3996.37898595041,-111.730574065663
4105.19067127308,-111.692343407028
4216.96503428582,-111.744986948052
4331.78274150041,-111.839533370535
4449.72665578166,-111.855141222907
4570.88189614875,-111.860348896245
4695.33589920485,-111.823736713675
4823.17848223931,-111.843531629921
4954.5019080479,-111.884776551939
5089.40095151809,-111.908444444597
5227.97296802712,-111.95141252142
5370.31796370253,-112.067732602479
5516.53866759558,-112.154362127105
5666.74060581991,-112.073789467979
