Trace
Log Plot
A.14.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,10
Stop Offset,100000000
Threshold,0.01
Trace Type,Smoothed,Blank,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
Trace Name,Trace1
DATA,
10,-79.1269337621887
10.272275691833,-79.8955682705023
10.5519647889024,-80.8068297896048
10.839269140212,-81.472547818564
11.1343960906236,-82.0797952527873
11.4375586304954,-82.6997713646108
11.7489755493953,-83.2223477477507
12.0688715939994,-83.7167261346566
12.3974776302894,-84.1506827975232
12.7350308101666,-84.4965463480132
13.0817747426019,-85.0204448372102
13.4379596694465,-85.2682595410186
13.8038426460288,-85.57679506366
14.179687726669,-85.8291744221325
14.5657661552446,-85.9347700714638
14.9623565609443,-86.4263984403339
15.3697451593527,-86.7305741418925
15.7882259590087,-86.9156976020018
16.2181009735893,-87.2309362326933
16.6596804398695,-87.5414627006856
17.1132830416178,-87.8262269999342
17.5792361395869,-87.9369481564328
18.0578760077672,-88.0042311398499
18.5495480760722,-88.1950907029418
19.0546071796325,-88.3653747551809
19.5734178148766,-88.763004288076
20.1063544025849,-88.9618654762217
20.6538015581053,-88.9358824181635
21.2161543689268,-89.3354393968254
21.7938186798105,-89.6067729839173
22.3872113856834,-89.7643417389101
22.9967607325083,-89.9699847292799
23.6229066263446,-90.3634095171623
24.2661009508242,-90.3316849051902
24.9268078932718,-90.6099564674684
25.6055042797048,-90.8036124063235
26.3026799189538,-91.0398863423192
27.0188379561534,-91.4373924149909
27.7544952358571,-91.4974247645872
28.5101826750391,-91.62421238519
29.2864456462524,-91.8642038533757
30.0838443712188,-92.0458024742308
30.9029543251359,-92.3387627138861
31.744366651992,-92.448854568619
32.6086885911893,-92.7669953545133
33.4965439157828,-92.9708612238095
34.4085733826513,-93.1081262157203
35.3454351949263,-93.2616184250492
36.3078054770101,-93.2775405620592
37.2963787625294,-93.1438170374815
38.3118684955729,-93.4797963568992
39.3550075455777,-93.4895560643917
40.4265487362344,-93.4260368558167
41.5272653887925,-93.7704457080936
42.6579518801593,-94.0746188219405
43.8194242161944,-93.9679834205876
45.0125206206134,-94.0478396448754
46.238102139926,-94.2849122598797
47.4970532648456,-94.2990325539522
48.7902825686172,-94.7111098217846
50.1187233627272,-94.8415559281991
51.4833343704648,-95.0340839051712
52.8851004188238,-95.4757376640209
54.3250331492433,-95.5963596669424
55.8041717476997,-95.6008120258573
57.3235836946771,-95.7697285498547
58.8843655355589,-96.0630254750255
60.4876436719933,-96.0663536120336
62.1345751748076,-96.4009110272574
63.8263486190549,-96.6574104019999
65.5641849417979,-96.9291131563013
67.3493383232477,-97.1280089744928
69.1830970918936,-97.4951998318383
71.0667846542785,-97.6721420225577
73.0017604500878,-97.7693467538218
74.9894209332456,-97.988411107228
77.0312005797215,-97.9244490195328
79.1285729227788,-97.909355102899
81.2830516164099,-98.1473344564218
83.4961915277258,-98.6478405007656
85.7695898590894,-98.7808600834613
88.1048873008014,-99.4027855806752
90.5037692151712,-99.4804056608012
92.9679668528271,-99.5776389796377
95.4992586021436,-99.7214795477425
98.0994712726877,-99.5694211581171
100.77048141361,-99.7091155725156
103.514216667934,-100.030929605493
106.332657163716,-100.073955943778
109.227836943086,-100.225538571285
112.201845430196,-100.452579799439
115.256828939141,-100.536057711776
118.39499222293,-100.60438753312
121.618600064637,-100.698851276026
124.929978911873,-100.805108337486
128.331518555765,-101.167607831288
131.825673855641,-101.356395370356
135.414966510681,-101.698498143071
139.101986879805,-101.818760098838
142.88939585111,-102.159144009605
146.779926762207,-102.374005549893
150.776387372845,-102.496142658544
154.881661891248,-102.498358862378
159.098713055617,-102.635913965677
163.430584272314,-102.580962523412
167.880401812256,-102.750651724712
172.45137706712,-103.074587172262
177.146808866971,-103.316380158618
181.970085860998,-103.61029867305
186.924688963071,-103.826235645554
192.01419386388,-103.9215355306
197.242273611485,-104.021617951423
202.612701262114,-104.165472089649
208.129352603145,-104.369867891587
213.796208950223,-104.456749116386
219.617360020544,-104.559431288745
225.597006884358,-104.809852677311
231.739464996848,-104.964970008814
238.049167312551,-104.930262643011
244.530667484582,-105.052373738191
251.188643150958,-105.110211983215
258.027899310411,-105.374248916616
265.053371790108,-105.440359308549
272.270130807791,-105.461357844124
279.683384630908,-105.693173561621
287.298483335367,-105.852068077382
295.120922666639,-105.977859846811
303.156348005985,-106.110623946708
311.410558444676,-106.201917192226
319.88951096914,-106.226288424376
328.599324760065,-106.34253508738
337.546285608557,-106.556590300468
346.736850452532,-106.685353472878
356.177652036629,-106.827099283091
365.875503699003,-106.967753114015
375.837404288444,-107.116085719703
386.070543215381,-107.204666356473
396.582305640414,-107.308210158586
407.380277804113,-107.657046450173
418.472252501938,-107.586026063159
429.866234708228,-107.644759247186
441.570447353312,-107.817665317598
453.593337257927,-107.807375834742
465.943581229204,-107.958325924238
478.630092322638,-108.21920218516
491.662026274564,-108.275119755111
505.048788109759,-108.592936284066
518.800038928961,-108.659232182609
532.9257028812,-108.534964885171
547.435974325959,-108.725549209645
562.341325190349,-108.898702033537
577.6525125266,-109.123553646573
593.380586275328,-109.253817113785
609.536897240169,-109.48684058886
626.133105279552,-109.552588273306
643.181187721509,-109.728827284091
660.693448007596,-109.70283525095
678.682524572179,-109.638424929711
697.161399963467,-109.793708472321
716.143410212902,-110.011751009602
735.642254459641,-110.080457893221
755.672004837103,-109.871178052586
776.247116628692,-109.886368589823
797.38243870004,-110.262396112891
819.093224215297,-110.438320413862
841.395141645195,-110.593180951752
864.304286074836,-110.808196457555
887.837190819365,-110.728109555271
912.01083935591,-110.856940389667
936.842677580396,-110.92591350246
962.350626398088,-111.026259976977
988.553094656938,-111.09944882955
1015.46899243308,-111.072813312536
1043.11774467805,-111.112408479369
1071.51930523761,-111.295124162807
1100.69417125221,-111.363225988208
1130.66339794964,-111.375225867981
1161.44861384034,-111.491840047329
1193.07203632653,-111.46859918993
1225.55648773628,-111.452419198347
1258.92541179417,-111.606777178987
1293.20289054041,-111.554231708064
1328.41366171065,-111.402503256348
1364.58313658892,-111.542922110827
1401.73741834677,-111.828429308169
1439.90332088163,-111.984567643527
1479.10838816821,-111.757629727281
1519.38091413666,-111.586022547741
1560.74996309211,-111.57250071332
1603.24539069004,-111.63249550385
1646.89786548287,-111.499728367651
1691.73889105314,-111.498042716418
1737.80082874938,-111.453649396343
1785.11692104095,-111.601127979752
1833.72131550888,-111.821157663086
1883.6490894898,-111.758145427163
1934.93627539095,-111.647598697725
1987.61988669444,-111.386445859927
2041.73794466953,-111.359674828927
2097.3295058122,-111.203383215362
2154.43469003188,-111.010135772827
2213.09470960564,-111.022573389841
2273.35189892063,-111.213906901576
2335.24974502649,-111.27345056159
2398.83291901949,-111.293181129195
2464.14730828128,-111.493140833849
2531.24004959536,-111.448834391904
2600.15956316527,-111.325085706662
2670.95558755899,-111.268798085018
2743.67921560478,-111.277601275223
2818.38293126445,-111.376063091513
2895.1206475105,-111.504852103775
2973.94774523461,-111.377519234726
3054.92111321551,-111.522412166562
3138.09918917513,-111.535511398794
3223.54200195246,-111.535352095845
3311.31121482591,-111.562743429549
3401.47017001504,-111.524940426103
3494.08393439407,-111.6638206748
3589.21934645005,-111.850412812634
3686.94506451957,-111.97634742841
3787.33161633883,-112.038435608011
3890.45144994281,-112.142390969539
3996.37898595041,-112.306708446367
4105.19067127308,-112.388822925436
4216.96503428582,-112.368419349324
4331.78274150041,-112.378946877065
4449.72665578166,-112.337864060362
4570.88189614875,-112.16774692646
4695.33589920485,-112.223512863281
4823.17848223931,-112.221903160557
4954.5019080479,-112.24059500449
5089.40095151809,-112.329922484698
5227.97296802712,-112.34773357618
5370.31796370253,-112.200384667673
5516.53866759558,-112.161924248889
5666.74060581991,-112.138979580793
5821.03217770872,-112.18330250269
